번호,자치구,동,공원수,유치원,초등학교,중학교,고등학교,특수학교,학원,여가시설,음식점,의료시설,공기오염도,cctv,노인복지시설,체육시설,공공도서관
104,중랑구,면목4동,7,2,2,1,1,0,37,10,101,12,0.106316099,63,9,2,1
105,중랑구,면목5동,4,2,1,1,1,0,17,15,98,8,0.061856639,37,5,1,1
106,중랑구,면목7동,5,2,2,1,1,0,37,18,148,21,0.084086369,50,7,2,1
107,중랑구,상봉1동,5,2,2,1,1,0,34,8,120,23,0.082153349,49,7,2,1
108,중랑구,상봉2동,4,2,1,1,1,0,20,62,371,38,0.065722679,39,6,1,1
109,중랑구,중화1동,4,2,1,1,1,0,78,6,118,33,0.065722679,39,6,1,1
110,중랑구,중화2동,6,2,2,1,1,0,37,37,368,42,0.094717979,56,8,2,1
111,중랑구,묵1동,7,3,2,1,1,0,55,15,208,29,0.115981199,69,10,2,1
112,중랑구,묵2동,4,2,1,1,1,0,49,22,189,35,0.067655699,40,6,1,1
113,중랑구,망우3동,6,2,2,1,1,0,56,9,168,16,0.095684489,57,8,2,1
114,중랑구,신내1동,14,5,4,2,2,0,115,19,223,29,0.244527027,145,20,4,1
115,중랑구,신내2동,6,2,2,1,1,0,60,6,90,26,0.095684489,57,8,2,1
116,중랑구,면목본동,6,2,2,1,1,0,72,37,360,43,0.097617509,58,8,2,1
117,중랑구,면목3.8동,10,3,3,2,1,0,73,48,361,34,0.161407168,96,13,2,1
118,중랑구,망우본동,16,5,4,3,2,0,84,55,503,75,0.278354877,164,23,4,1
120,성북구,돈암1동,3,2,1,1,1,1,45,3,36,9,0.039517528,45,4,1,1
121,성북구,돈암2동,3,2,1,1,1,1,18,0,15,8,0.038711047,44,4,1,1
122,성북구,안암동,8,3,2,1,1,1,41,34,493,32,0.107261861,121,11,2,1
123,성북구,보문동,4,2,1,1,1,1,34,14,162,29,0.045162889,51,5,1,1
124,성북구,정릉1동,3,1,1,1,1,1,65,8,114,19,0.035485127,40,4,1,1
125,성북구,정릉2동,7,3,2,1,1,1,67,13,158,26,0.094358178,106,10,2,1
126,성북구,정릉3동,21,9,5,3,2,1,26,9,219,5,0.299204137,336,29,4,2
127,성북구,정릉4동,17,8,4,3,2,1,58,16,176,41,0.252428288,283,25,4,2
128,성북구,길음1동,5,2,1,1,1,1,123,23,270,78,0.063711932,72,7,1,1
129,성북구,길음2동,4,2,1,1,1,1,68,26,263,28,0.046775849,53,5,1,1
130,성북구,월곡1동,5,2,1,1,1,1,68,4,184,48,0.065324892,74,7,1,1
131,성북구,월곡2동,8,4,2,1,1,1,39,14,194,39,0.109681301,123,11,2,1
132,성북구,장위1동,4,2,1,1,1,1,37,8,143,19,0.056453611,64,6,1,1
133,성북구,장위2동,4,2,1,1,1,1,37,11,212,30,0.05403417,61,6,1,1
134,성북구,장위3동,4,2,1,1,1,1,31,5,76,16,0.05242121,59,6,1,1
135,성북구,성북동,16,7,4,3,2,1,53,12,258,41,0.230653324,259,23,3,2
136,성북구,삼선동,5,3,2,1,1,1,110,33,438,79,0.074196174,84,8,1,1
137,성북구,동선동,4,2,1,1,1,1,103,50,528,62,0.058873051,66,6,1,1
138,성북구,종암동,8,4,2,2,1,1,157,36,288,67,0.117746103,132,12,2,1
139,성북구,석관동,10,4,3,2,1,1,66,15,364,36,0.139521067,157,14,2,1
141,강북구,번1동,3,1,1,1,1,1,28,35,245,37,0.047572771,27,4,1,1
142,강북구,번2동,4,1,1,1,1,1,21,7,61,11,0.068475958,39,5,1,1
143,강북구,번3동,4,2,1,1,1,1,23,7,61,12,0.079287951,45,6,1,1
144,강북구,수유1동,6,2,1,1,1,1,30,12,181,16,0.120373526,67,9,2,1
